cut1_idx,cut2_idx
40,7
40,13
40,24
24,7
24,13
142,77
77,7
77,8
77,9
142,88
88,85
88,86
142,92
92,77
92,85
92,86
286,215
215,77
215,85
215,86
286,234
286,235
235,215
235,234
431,359
359,215
359,229
359,230
431,378
431,407
574,503
503,359
503,373
503,374
574,522
574,523
523,503
523,522
719,647
647,503
647,517
647,518
719,666
719,695
862,791
791,647
791,661
791,662
862,810
862,811
811,791
811,810
1007,935
935,791
935,805
935,806
1007,954
1007,983
1150,1079
1079,935
1079,949
1079,950
1150,1098
1150,1099
1099,1079
1099,1098
1295,1223
1223,1079
1223,1093
1223,1094
1295,1242
1295,1271
1438,1367
1367,1223
1367,1237
1367,1238
1438,1386
1438,1387
1387,1367
1387,1386
1583,1511
1511,1367
1511,1381
1511,1382
1583,1530
1583,1559
1726,1655
1655,1511
1655,1525
1655,1526
1726,1674
1726,1675
1675,1655
1675,1674
1871,1799
1799,1655
1799,1669
1799,1670
1871,1818
1871,1847
2014,1943
1943,1799
1943,1813
1943,1814
2014,1962
2014,1963
1963,1943
1963,1962
2159,2087
2087,1943
2087,1957
2087,1958
2159,2106
2159,2135
2302,2231
2231,2087
2231,2101
2231,2102
2302,2250
2302,2251
2251,2231
2251,2250
2447,2375
2375,2231
2375,2245
2375,2246
2447,2394
2447,2423
2590,2519
2519,2375
2519,2389
2519,2390
2590,2538
2590,2539
2539,2519
2539,2538
2735,2663
2663,2519
2663,2533
2663,2534
2735,2682
2735,2711
2878,2807
2807,2663
2807,2677
2807,2678
2878,2826
2878,2827
2827,2807
2827,2826
3023,2951
2951,2807
2951,2821
2951,2822
3023,2970
3023,2999
3166,3095
3095,2951
3095,2965
3095,2966
3166,3114
3166,3115
3115,3095
3115,3114
3311,3239
3239,3095
3239,3109
3239,3110
3311,3258
3311,3287
3454,3383
3383,3239
3383,3253
3383,3254
3454,3402
3454,3403
3403,3383
3403,3402
3599,3527
3527,3383
3527,3397
3527,3398
3599,3546
3599,3575
3742,3671
3671,3527
3671,3541
3671,3542
3742,3690
3742,3691
3691,3671
3691,3690
3887,3815
3815,3671
3815,3685
3815,3686
3887,3834
3887,3863
4030,3959
3959,3815
3959,3829
3959,3830
4030,3978
4030,3979
3979,3959
3979,3978
4175,4103
4103,3959
4103,3973
4103,3974
4175,4122
4175,4151
4318,4247
4247,4103
4247,4117
4247,4118
4318,4266
4318,4267
4267,4247
4267,4266
4463,4391
