cut1_idx,cut2_idx
54,8
171,7
171,8
171,89
89,85
315,76
315,85
315,231
76,7
449,222
222,7
222,8
222,9
603,367
603,373
603,522
522,518
367,209
209,85
747,513
747,517
747,663
513,222
513,373
513,374
880,655
880,805
880,806
655,500
500,222
1024,798
1024,949
1024,950
798,513
798,517
798,518
1179,941
1179,949
1179,1097
1097,1093
941,655
1312,1089
1312,1237
1312,1238
1089,798
1089,949
1089,950
1456,1231
1456,1381
1456,1382
1231,1068
1068,798
1068,949
1611,1374
1611,1381
1611,1527
1374,1089
1374,1093
1374,1094
1755,1519
1755,1525
1755,1671
1519,1361
1361,950
1361,1068
1361,1237
1890,1670
1890,1793
1890,1813
1793,1382
1793,1508
1793,1669
1508,1231
2043,1809
2043,1813
2043,1961
1961,1957
1809,1519
1809,1669
1809,1670
2178,1958
2178,2076
2178,2101
2076,1809
2076,1957
2322,2102
2322,2225
2322,2245
2225,1814
2225,1937
2225,2101
1937,1526
1937,1652
1937,1813
1652,1374
2464,2239
2464,2389
2464,2390
2239,2076
2619,2381
2619,2389
2619,2536
2536,2533
2536,2534
2381,2094
2094,1809
2094,1813
2094,1814
2763,2526
2763,2533
2763,2679
2526,2239
2526,2245
2526,2246
2896,2670
2896,2821
2896,2822
2670,2381
2670,2389
2670,2390
3051,2814
3051,2821
3051,2969
2969,2965
2814,2526
2814,2533
2814,2534
3195,2957
3195,2965
3195,3114
3114,3110
2957,2670
3330,3110
3330,3236
3330,3253
3236,2957
3483,3245
3483,3253
3483,3399
3245,2957
3627,3390
3627,3397
3627,3543
3390,3102
3390,3109
3390,3110
3102,2814
3102,2821
3102,2822
3771,3535
3771,3541
3771,3690
3690,3686
3535,3380
3380,3102
3915,3679
3915,3685
3915,3834
3834,3830
3679,3524
3524,3245
4059,3821
4059,3829
4059,3975
3821,3535
4195,3965
4195,3973
4195,3974
3965,3679
4347,4110
4347,4117
4347,4263
4110,3821
4110,3829
4110,3830
4485,4262
4485,4380
4485,4406
4380,4110
4380,4261
4624,4398
4624,4549
4624,4550
4398,4110
4398,4117
4398,4118
4769,4542
4542,4257
4542,4261
4542,4262
4257,3965
4257,4117
4257,4118
4923,4689
4923,4693
4923,4839
4689,4398
4689,4549
4689,4550
5067,4829
5067,4837
5067,4983
4829,4542
5202,4982
5202,5105
5202,5125
5105,4694
5105,4820
5105,4981
4820,4542
5345,5119
5119,4961
4961,4550
4961,4668
4961,4837
4668,4398
4668,4549
5499,5261
5499,5269
5499,5415
5261,4974
4974,4689
4974,4693
4974,4694
5643,5406
5643,5413
5643,5559
5406,5119
5406,5125
5406,5126
5777,5549
5549,5261
5922,5702
5922,5828
5922,5845
5828,5549
6075,5833
6075,5845
6075,5991
5833,5558
5833,5676
5676,5406
5676,5557
6211,5982
6211,5989
6211,5990
5982,5693
5982,5701
5982,5702
5693,5406
6353,6118
6118,5982
6497,6270
6270,5982
6270,5989
6270,5990
6643,6414
6643,6421
6643,6422
6414,6118
6414,6133
6414,6134
6784,6559
6784,6709
6784,6710
6559,6401
6401,5990
6401,6116
6401,6277
6116,5833
6928,6701
6928,6853
6928,6854
6701,6414
7083,6847
7083,6853
7083,6999
6847,6689
6689,6278
6689,6401
6689,6565
7218,6998
7218,7121
7218,7141
7121,6710
7121,6833
7121,6997
6833,6422
6833,6540
6833,6709
6540,6270
6540,6421
7365,7142
7365,7265
7365,7286
7265,6854
7265,6980
7265,7141
6980,6701
7504,7279
7504,7429
7504,7430
7279,7121
7659,7422
7659,7429
7659,7575
7422,7129
7422,7141
7422,7142
7129,6854
7129,6980
7803,7561
7803,7573
7803,7721
7721,7717
7561,7286
7561,7406
7406,7129
7406,7141
7406,7285
7938,7718
7938,7841
7938,7861
7841,7430
7841,7556
7841,7717
