cut1_idx,cut2_idx
6,2
54,8
161,7
315,76
315,85
315,231
76,7
449,221
221,7
603,366
603,373
603,521
521,517
366,76
366,85
366,86
737,511
511,356
356,76
880,653
880,805
880,806
653,366
1025,798
798,511
798,517
798,518
1169,941
941,653
1313,1086
1086,798
1086,805
1086,806
1457,1230
1230,941
1230,949
1230,950
1601,1374
1374,1086
1374,1093
1374,1094
1745,1518
1518,1230
1518,1237
1518,1238
1899,1661
1899,1669
1899,1815
1661,1374
2033,1807
1807,1652
1652,1374
2177,1950
1950,1661
1950,1669
1950,1670
2331,2094
2331,2101
2331,2247
2094,1807
2094,1813
2094,1814
2465,2238
2238,1950
2238,1957
2238,1958
2619,2381
2619,2389
2619,2535
2381,2094
2763,2525
2763,2533
2763,2679
2525,2238
2896,2669
2896,2821
2896,2822
2669,2381
3051,2813
3051,2821
3051,2969
2969,2965
2813,2525
3195,2957
3195,2965
3195,3113
3113,3109
2957,2669
3339,3102
3339,3109
3339,3255
3102,2813
3102,2821
3102,2822
3483,3245
3483,3253
3483,3399
3245,2957
3617,3389
3389,3102
3771,3533
3771,3541
3771,3687
3533,3245
3915,3677
3915,3685
3915,3831
3677,3389
4049,3821
3821,3533
4192,3965
4192,4117
4192,4118
3965,3677
4337,4110
4110,3821
4110,3829
4110,3830
4481,4254
4254,3965
4254,3973
4254,3974
4635,4397
4635,4405
4635,4551
4397,4110
4769,4541
4541,4254
4913,4687
4687,4529
4529,4118
4529,4241
4529,4405
4241,3830
4241,3953
4241,4117
3953,3542
3953,3665
3953,3829
3665,3254
3665,3377
3665,3541
3377,2966
3377,3089
3377,3253
3089,2678
3089,2801
3089,2965
2801,2390
2801,2513
2801,2677
2513,2102
2513,2225
2513,2389
2225,1814
2225,1937
2225,2101
1937,1526
1937,1652
1937,1813
5057,4829
4829,4541
5211,4973
5211,4981
5211,5127
4973,4687
5345,5117
5117,4829
5489,5261
5261,4973
5633,5405
5405,5117
5777,5549
5549,5261
5921,5693
5693,5405
6075,5839
6075,5845
6075,5991
5839,5676
5676,5405
5676,5557
6211,5982
6211,5989
6211,5990
5982,5693
5982,5701
5982,5702
6353,6126
6126,5839
6126,5845
6126,5846
6497,6270
6270,5982
6270,5989
6270,5990
6640,6414
6640,6565
6640,6566
6414,6126
6414,6133
6414,6134
6784,6557
6784,6709
6784,6710
6557,6270
6929,6701
6701,6414
7073,6846
6846,6557
6846,6565
6846,6566
7216,6990
7216,7141
7216,7142
6990,6701
6990,6709
6990,6710
7363,7135
7363,7141
7363,7142
7135,6980
6980,6701
7504,7278
7504,7429
7504,7430
7278,6990
7278,6997
7278,6998
7649,7421
7421,7135
7793,7569
7569,7278
7569,7429
7569,7430
7937,7710
7710,7421
7710,7429
7710,7430
8080,7853
8080,8005
8080,8006
7853,7569
8235,7997
8235,8005
8235,8151
7997,7710
8369,8141
8141,7853
8512,8286
8512,8437
8512,8438
8286,7997
8286,8005
8286,8006
8656,8430
8656,8581
8656,8582
8430,8141
8430,8149
8430,8150
8801,8574
8574,8286
8574,8293
8574,8294
8945,8718
8718,8430
8718,8437
8718,8438
9089,8862
8862,8574
8862,8581
8862,8582
9232,9005
9232,9157
9232,9158
9005,8718
9377,9150
9150,8862
9150,8869
9150,8870
9520,9294
9520,9445
9520,9446
9294,9005
9294,9013
9294,9014
9665,9437
9437,9150
9809,9581
9581,9294
9953,9725
9725,9437
10097,9870
9870,9581
9870,9589
9870,9590
10241,10014
10014,9725
10014,9733
10014,9734
10385,10158
10158,9870
10158,9877
10158,9878
10529,10302
10302,10014
10302,10021
10302,10022
10673,10447
10447,10289
10289,9878
10289,10001
10289,10165
10001,9590
10001,9713
10001,9877
9713,9302
9713,9425
9713,9589
9425,9014
9425,9137
9425,9301
9137,8726
9137,8852
9137,9013
8852,8574
10827,10589
10827,10597
10827,10743
10589,10302
10971,10733
10971,10741
10971,10887
10733,10447
11105,10877
10877,10589
11259,11022
11259,11029
11259,11175
11022,10733
11022,10741
11022,10742
11393,11167
11167,11009
11009,10598
11009,10721
11009,10885
10721,10310
10721,10433
10721,10597
10433,10022
10433,10145
10433,10309
10145,9734
10145,9857
10145,10021
9857,9446
9857,9569
9857,9733
9569,9158
9569,9281
9569,9445
9281,8870
9281,8996
9281,9157
8996,8718
11537,11310
11310,11022
11310,11029
11310,11030
11681,11453
11453,11167
11826,11606
11826,11729
11826,11749
11729,11318
11729,11441
11729,11605
11441,11030
11441,11153
11441,11317
11153,10742
11153,10868
11153,11029
10868,10589
11979,11742
11979,11749
11979,11895
11742,11453
11742,11461
11742,11462
12113,11885
11885,11597
11597,11310
12256,12030
12256,12181
12256,12182
12030,11742
12030,11749
12030,11750
12411,12173
12411,12181
12411,12327
12173,11885
12545,12317
12317,12030
12689,12462
12462,12173
12462,12181
12462,12182
12833,12605
12605,12317
12977,12751
12751,12596
12596,12317
13120,12893
13120,13045
13120,13046
12893,12605
13264,13037
13264,13189
13264,13190
13037,12751
13408,13181
13408,13333
13408,13334
13181,12893
13563,13326
13563,13333
13563,13481
13481,13477
13326,13037
13326,13045
13326,13046
13697,13469
13469,13181
13851,13614
13851,13621
13851,13767
13614,13326
13614,13333
13614,13334
13995,13757
13995,13765
13995,13911
13757,13469
14129,13901
13901,13614
14283,14045
14283,14053
14283,14199
14045,13757
14427,14189
14427,14197
14427,14345
14345,14341
14189,13901
14571,14333
14571,14341
14571,14487
14333,14045
14705,14478
14478,14189
14478,14197
14478,14198
14859,14622
14859,14629
14859,14775
14622,14333
14622,14341
14622,14342
14995,14765
14995,14773
14995,14774
14765,14478
15147,14911
15147,14917
15147,15065
15065,15061
14911,14753
14753,14342
14753,14465
14753,14629
14465,14054
14465,14177
14465,14341
14177,13766
14177,13889
14177,14053
13889,13478
13889,13601
13889,13765
13601,13190
13601,13313
13601,13477
13313,12902
13313,13025
13313,13189
13025,12614
13025,12737
13025,12901
12737,12326
12737,12449
12737,12613
12449,12038
12449,12161
12449,12325
12161,11750
12161,11873
12161,12037
11873,11462
11873,11585
11873,11749
11585,11174
11585,11297
11585,11461
11297,10886
11297,11009
11297,11173
15281,15053
15053,14765
15435,15197
15435,15205
15435,15351
15197,14911
15569,15343
15343,15185
15185,14774
15185,14897
15185,15061
14897,14486
14897,14612
14897,14773
14612,14333
15713,15486
15486,15197
15486,15205
15486,15206
15857,15629
15629,15343
16000,15773
16000,15925
16000,15926
15773,15486
16144,15918
16144,16069
16144,16070
15918,15629
15918,15637
15918,15638
16299,16062
16299,16069
16299,16215
16062,15773
16062,15781
16062,15782
16443,16205
16443,16213
16443,16359
16205,15918
16587,16350
16587,16357
16587,16503
16350,16062
16350,16069
16350,16070
16731,16494
16731,16501
16731,16649
16649,16645
16494,16205
16494,16213
16494,16214
16865,16637
16637,16350
17008,16782
17008,16933
17008,16934
16782,16494
16782,16501
16782,16502
17153,16925
16925,16637
17297,17069
17069,16782
17442,17222
17442,17348
17442,17365
17348,17069
17584,17357
17584,17509
17584,17510
17357,17069
17729,17502
17502,17215
17502,17221
17502,17222
17215,17057
17057,16646
17057,16772
17057,16933
16772,16494
17875,17646
17875,17653
17875,17654
17646,17357
17646,17365
17646,17366
18017,17790
17790,17502
17790,17509
17790,17510
18160,17933
18160,18085
18160,18086
17933,17646
18222,17933
18222,17941
18222,17942
