cut1_idx,cut2_idx
4,1
4,2
54,8
171,7
171,8
171,87
315,76
315,85
315,231
76,7
449,222
222,7
222,8
222,9
603,367
603,373
603,521
521,517
367,209
209,85
747,511
747,517
747,663
511,356
356,76
880,653
880,805
880,806
653,367
1035,798
1035,805
1035,951
798,511
798,517
798,518
1169,941
941,653
1323,1089
1323,1093
1323,1239
1089,798
1089,949
1089,950
1456,1230
1456,1381
1456,1382
1230,941
1230,949
1230,950
1601,1374
1374,1089
1374,1093
1374,1094
1745,1519
1519,1361
1361,950
1361,1076
1361,1237
1076,798
1899,1662
1899,1669
1899,1815
1662,1374
1662,1381
1662,1382
2033,1807
1807,1652
1652,1374
2187,1950
2187,1957
2187,2103
1950,1662
1950,1669
1950,1670
2331,2094
2331,2101
2331,2247
2094,1807
2094,1813
2094,1814
2464,2238
2464,2389
2464,2390
2238,1950
2238,1957
2238,1958
2619,2381
2619,2389
2619,2535
2381,2094
2763,2525
2763,2533
2763,2679
2525,2238
2896,2669
2896,2821
2896,2822
2669,2381
3051,2813
3051,2821
3051,2969
2969,2965
2813,2525
3195,2957
3195,2965
3195,3113
3113,3109
2957,2669
3328,3102
3328,3253
3328,3254
3102,2813
3102,2821
3102,2822
3483,3245
3483,3253
3483,3399
3245,2957
3627,3389
3627,3397
3627,3543
3389,3102
3771,3534
3771,3541
3771,3690
3690,3686
3534,3245
3534,3253
3534,3254
3915,3678
3915,3685
3915,3831
3678,3389
3678,3397
3678,3398
4059,3821
4059,3829
4059,3975
3821,3534
4194,3974
4194,4097
4194,4117
4097,3686
4097,3809
4097,3973
3809,3398
3809,3524
3809,3685
3524,3245
4347,4110
4347,4117
4347,4263
4110,3821
4110,3829
4110,3830
4482,4262
4482,4388
4482,4405
4388,4110
4624,4397
4624,4549
4624,4550
4397,4110
4769,4542
4542,4255
4542,4261
4542,4262
4255,4097
4923,4687
4923,4693
4923,4839
4687,4529
4529,4118
4529,4236
4529,4405
4236,3965
4236,4117
3965,3678
5057,4829
4829,4542
5200,4973
5200,5125
5200,5126
4973,4687
5345,5117
5117,4829
5499,5261
5499,5269
5499,5415
5261,4973
5633,5405
5405,5117
5777,5549
5549,5261
5922,5702
5922,5825
5922,5845
5825,5414
5825,5537
5825,5701
5537,5126
5537,5249
5537,5413
5249,4838
5249,4961
5249,5125
4961,4550
4961,4668
4961,4837
4668,4397
4668,4549
6075,5833
6075,5845
6075,5991
5833,5558
5833,5676
5676,5405
5676,5557
6211,5982
6211,5989
6211,5990
5982,5693
5982,5701
5982,5702
5693,5405
6353,6129
6129,5833
6129,5989
6129,5990
6497,6270
6270,5982
6270,5989
6270,5990
6642,6422
6642,6548
6642,6565
6548,6270
6784,6557
6784,6709
6784,6710
6557,6270
6929,6701
6701,6414
6414,6129
6414,6133
6414,6134
7073,6846
6846,6557
6846,6565
6846,6566
7216,6991
7216,7141
7216,7142
6991,6833
6833,6422
6833,6548
6833,6709
7363,7137
7363,7141
7363,7142
7137,6846
7137,6997
7137,6998
7504,7278
7504,7429
7504,7430
7278,6991
7278,6997
7278,6998
7659,7422
7659,7429
7659,7575
7422,7137
7422,7141
7422,7142
7793,7561
7561,7286
7561,7412
7412,7137
7938,7718
7938,7841
7938,7861
7841,7430
7841,7553
7841,7717
7553,7142
7553,7265
7553,7429
7265,6854
7265,6980
7265,7141
6980,6701
8080,7853
8080,8005
8080,8006
7853,7561
8235,7997
8235,8005
8235,8151
7997,7710
7710,7422
7710,7429
7710,7430
8379,8142
8379,8149
8379,8295
8142,7853
8142,7861
8142,7862
8512,8286
8512,8437
8512,8438
8286,7997
8286,8005
8286,8006
8658,8438
8658,8561
8658,8581
8561,8150
8561,8273
8561,8437
8273,7862
8273,7988
8273,8149
7988,7710
8811,8574
8811,8581
8811,8727
8574,8286
8574,8293
8574,8294
8945,8718
8718,8430
8718,8437
8718,8438
8430,8142
8430,8149
8430,8150
9089,8863
8863,8705
8705,8294
8705,8412
8705,8581
8412,8142
8412,8293
9234,9014
9234,9132
9234,9157
9132,8863
9132,9013
9377,9150
9150,8863
9150,8869
9150,8870
9520,9295
9520,9445
9520,9446
9295,9132
9675,9437
9675,9445
9675,9591
9437,9150
9809,9581
9581,9295
9953,9729
9729,9437
9729,9589
9729,9590
10097,9871
9871,9716
9716,9437
10251,10015
10251,10021
10251,10167
10015,9857
9857,9446
9857,9569
9857,9733
9569,9158
9569,9281
9569,9445
9281,8870
9281,8988
9281,9157
8988,8718
8988,8869
10385,10158
10158,9871
10158,9877
10158,9878
10539,10303
10539,10309
10539,10457
10457,10453
10303,10145
10145,9734
10145,9857
10145,10021
10673,10441
10441,10166
10441,10289
10289,9878
10289,10001
10289,10165
10001,9590
10001,9716
10001,9877
10827,10589
10827,10597
10827,10743
10589,10303
10971,10733
10971,10741
10971,10889
10889,10885
10733,10441
11105,10877
10877,10589
11259,11022
11259,11029
11259,11177
11177,11173
11022,10733
11022,10741
11022,10742
11393,11167
11167,11009
11009,10598
11009,10724
11009,10885
10724,10441
11547,11310
11547,11317
11547,11463
11310,11022
11310,11029
11310,11030
11681,11453
11453,11167
11826,11606
11826,11732
11826,11749
11732,11453
11968,11743
11968,11893
11968,11894
11743,11585
11585,11174
11585,11297
11585,11461
11297,10886
11297,11009
11297,11173
12113,11885
11885,11597
11597,11310
12256,12030
12256,12181
12256,12182
12030,11743
12030,11749
12030,11750
12411,12173
12411,12181
12411,12327
12173,11885
12544,12318
12544,12469
12544,12470
12318,12030
12318,12037
12318,12038
12699,12462
12699,12469
12699,12615
12462,12173
12462,12181
12462,12182
12833,12609
12609,12318
12609,12469
12609,12470
12977,12753
12753,12462
12753,12613
12753,12614
13123,12893
13123,12901
13123,12902
12893,12609
13264,13037
13264,13189
13264,13190
13037,12753
